batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score
S Sreesanth,India,10,0.35714285714285715,2.5,3.299004538134973,2.805308440097353,0,0.0009930486593843098,0.7449520026481297,0.5773502691896258,2.248080936125783
CR Ervine,Zimbabwe,268,0.6784810126582278,29.77777777777778,1.1291301904392212,2.3308235402880566,0,0.09651474530831099,1.1197279801216242,0.04760855306297107,2.2413229276751157
Imran Farhat,Pakistan,140,0.6511627906976745,35.0,1.4298806362492829,2.7064107758382097,0,0.04927536231884058,0.9442391304347827,0.03616295580114409,2.235066311082249
A Nehra,India,30,0.45454545454545453,3.75,3.299004538134973,2.630358855046817,0,0.003972194637537239,0.510824230387289,0.19321835661585918,2.211451684194535
A Mithun,India,28,0.7,14.0,3.299004538134973,2.4313238319488093,0,0.0,0.0,0.07071067811865475,2.2099107622827825
WP Saha,India,4,0.8,4.0,3.299004538134973,1.7315254917466654,0,0.0009930486593843098,0.8939424031777558,0.0,2.2049083654546466
MM Patel,India,8,0.6153846153846154,2.6666666666666665,3.299004538134973,2.214114677246409,0,0.0019860973187686196,0.7449520026481297,0.2641352718976871,2.203233674066602
E Chigumbura,Zimbabwe,273,0.7479452054794521,18.2,1.1291301904392212,2.271490690555806,0,0.06613047363717604,1.451818244311542,0.07142336583359103,2.192735324681268
NT Broom,New Zealand,132,0.7674418604651163,26.4,1.7315254917466654,2.1060215419064163,0,0.07322033898305084,0.940599739243807,0.037680890328566134,2.1861636608465242
BB McCullum,New Zealand,178,0.8855721393034826,14.833333333333334,1.7315254917466654,2.2990638758397486,0,0.05016949152542373,0.9206928664555782,0.06297514975639616,2.1848067714168593
SE Bond,New Zealand,28,0.8235294117647058,9.333333333333334,1.7315254917466654,3.368462523392101,0,0.01152542372881356,0.874884437596302,0.34641016151377546,2.178018689373863
AN Petersen,South Africa,35,0.49295774647887325,8.75,3.131122172150953,2.442423869704948,0,0.005485640529202969,0.5352655304252594,0.16311817434811104,2.1733694386197
I Sharma,India,11,0.22448979591836735,3.6666666666666665,3.299004538134973,2.6967038627461526,0,0.0019860973187686196,0.7449520026481297,0.24743582965269675,2.163872161874864
S Tyagi,India,1,0.5,1.0,3.299004538134973,3.131122172150953,0,0.0,0.0,0.0,2.163074178003706
Naeem Islam,Bangladesh,233,0.7018072289156626,17.923076923076923,1.2643942209159602,2.6650915866200937,0,0.01696165191740413,1.3209734513274338,0.09905834158903332,2.161871167737039
SCJ Broad,England,34,0.5483870967741935,5.666666666666667,2.962530400413132,2.371590510598472,1,0.0,0.0,0.13055824196677338,2.1585731217573696
NL McCullum,New Zealand,201,0.7178571428571429,18.272727272727273,1.7315254917466654,2.7395423148359743,0,0.01152542372881356,0.7128688010043942,0.06409490274672193,2.150508484657807
DM Richards,West Indies,157,0.7370892018779343,39.25,1.5858432012749222,3.131122172150953,0,0.0,0.0,0.05308071974051343,2.1406672148276096
MV Boucher,South Africa,25,0.4032258064516129,8.333333333333334,3.131122172150953,2.7279507591816228,0,0.001936108422071636,0.3281194273195088,0.20272121351984576,2.129024992552122
T Thushara,Sri Lanka,35,0.6730769230769231,17.5,3.1792930482458965,2.2140673642870974,0,0.0,0.0,0.06734350297014739,2.126291808655955
GD Drummond,Scotland,35,1.8421052631578947,35.0,1.626689191600398,1.7111962338539188,0,0.0,0.0,0.0,2.1233998629915125
Mohammad Yousuf,Pakistan,177,0.6555555555555556,17.7,1.4298806362492829,3.141762426778502,0,0.013768115942028985,0.7538043478260871,0.052143562297669734,2.107406702604681
R McLaren,South Africa,25,0.7352941176470589,8.333333333333334,3.131122172150953,1.585843201274922,0,0.008067118425298484,0.7640035685135623,0.2847473987257497,2.100941704748514
AB Dinda,India,18,0.5806451612903226,6.0,3.299004538134973,2.4959054289770046,0,0.0,0.0,0.11470786693528087,2.0809241446965396
M Morkel,South Africa,17,0.7727272727272727,5.666666666666667,3.131122172150953,1.4818681579244959,0,0.005162955792191029,0.8312358825427558,0.13823270327522744,2.0695338805956878
Raqibul Hasan,Bangladesh,295,0.6107660455486542,24.583333333333332,1.2643942209159602,2.186051509289933,0,0.07890855457227139,0.7960360401669035,0.039565252436156655,2.060987374148899
