bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
CJ Chibhabha,Zimbabwe,-1.328,3,0.75,0.018072289156626505,0,1.2943056140646505,3.5317634173055863,0.0,0.0,2.380607992839108
MJ Mason,New Zealand,-1.0666666666666667,1,1.0,0.015625,0,2.279844646651876,1.9434912142743468,0.0,0.0,2.354364655108782
Farhad Reza,Bangladesh,-1.0601265822784811,7,0.7777777777777778,0.020895522388059702,0,0.7978609625668449,3.3863917521600424,0.0,0.0,2.3474236722144064
M Zondeki,South Africa,-1.0588235294117647,1,1.0,0.018518518518518517,1,2.903333848213366,0.0,0.007751937984496124,0.10465116279069768,2.346593218355159
Samiullah Khan,Pakistan,-0.9349593495934959,0,0.0,0.0,2,3.5317634173055863,1.2943056140646505,0.0,0.0,2.3311578710866314
Yasir Arafat,Pakistan,-0.6833333333333333,0,0.0,0.0,1,3.5317634173055863,1.2943056140646505,0.0,0.0,2.3041976904626575
RS Bopara,England,-1.1290322580645162,1,0.25,0.014285714285714285,1,1.9434912142743468,2.7899553987715326,0.0,0.0,2.270351427136286
CH Gayle,West Indies,-0.9346938775510204,3,0.42857142857142855,0.013100436681222707,1,1.1489262410949157,3.224286463202126,0.0,0.0,2.2537321635060366
Rizwan Ahmed,Pakistan,-1.0,0,0.0,0.0,1,3.5317634173055863,1.2943056140646505,0.0,0.0,2.2482350467844965
RN ten Doeschate,Netherlands,-0.48,2,2.0,0.08333333333333333,0,1.0404695705900524,0.0,0.0,0.0,2.2368376231298526
MN Samuels,West Indies,-0.7121212121212122,2,0.6666666666666666,0.02127659574468085,0,1.1489262410949157,2.903333848213366,0.0,0.0,2.2328366461937263
Nazmul Hossain,Bangladesh,-0.9166666666666666,1,1.0,0.01818181818181818,0,0.7978609625668449,3.1509790209790207,0.0,0.0,2.210350302393159
Misbah-ul-Haq,Pakistan,-1.25,0,0.0,0.0,1,3.5317634173055863,1.2943056140646505,0.0,0.0,2.204054012301738
GB Brent,Zimbabwe,-0.7813953488372093,1,0.25,0.005952380952380952,0,1.2943056140646505,3.5317634173055863,0.0,0.0,2.1912484878675604
H Masakadza,Zimbabwe,-1.0886075949367089,1,0.25,0.011627906976744186,0,1.2943056140646505,3.5317634173055863,0.0,0.0,2.168172061647768
CB Mpofu,Zimbabwe,-0.7682926829268293,1,0.16666666666666666,0.005291005291005291,1,1.2943056140646505,3.2800829799384017,0.0,0.0,2.1654966238736657
VD Philander,South Africa,-0.8947368421052632,0,0.0,0.0,0,2.903333848213366,1.9434912142743468,0.0,0.0,2.1542372584579033
SC Williams,Zimbabwe,-1.1647058823529413,1,0.25,0.010101010101010102,0,1.2943056140646505,3.5317634173055863,0.0,0.0,2.146325724589569
SHT Kandamby,Sri Lanka,-0.5,0,0.0,0.0,1,2.9025623238876253,1.2943056140646505,0.0,0.0,2.119551699844739
