match_id,match_date,team,opponent,location,runs_scored,opponent_base,opponent_trend,opponent_trend_predict,opponent_mean,location_base,location_trend,location_trend_predict,location_mean,current_base,current_trend,current_trend_predict,current_mean,is_train,noise
914227,2016-01-25,New Zealand,Pakistan,Wellington,280,249.29999999999998,16.300000000000004,347.1,298.2,170.99999999999994,50.60000000000002,424.00000000000006,297.5,340.1,-13.700000000000003,257.9,299.0,True,False
914231,2016-02-03,New Zealand,Australia,Auckland,307,236.9,-7.300000000000002,193.1,215.0,336.00000000000006,-48.600000000000016,92.99999999999997,214.5,292.7,-2.5000000000000004,277.7,285.2,True,False
800471,2016-02-06,South Africa,England,Port Elizabeth,262,188.9,4.499999999999999,215.9,202.4,214.4,9.200000000000001,269.6,242.0,163.09999999999997,45.500000000000014,436.1000000000001,299.6,True,False
914233,2016-02-06,New Zealand,Australia,Wellington,281,216.60000000000002,6.6,256.20000000000005,236.4,228.6,21.8,359.4,294.0,264.4,7.2,307.59999999999997,286.0,True,False
914235,2016-02-08,New Zealand,Australia,Hamilton,246,189.29999999999998,18.1,297.9,243.6,242.0,2.9999999999999996,251.0,246.5,280.70000000000005,2.3000000000000003,294.50000000000006,287.6,True,False
800473,2016-02-09,England,South Africa,Centurion,318,342.70000000000005,-31.100000000000005,156.10000000000002,249.4,388.99999999999994,-65.99999999999997,191.00000000000003,290.0,181.89999999999995,25.50000000000001,334.9,258.4,True,False
800475,2016-02-12,England,South Africa,Johannesburg,262,287.1,-9.700000000000001,228.90000000000003,258.0,146.0,0.0,146.0,146.0,112.29999999999995,49.90000000000001,411.70000000000005,262.0,True,False
800477,2016-02-14,England,South Africa,Cape Town,236,243.7,2.4999999999999996,258.7,251.2,248.70000000000002,12.700000000000001,324.90000000000003,286.8,248.70000000000002,12.700000000000001,324.90000000000003,286.8,True,False
932851,2016-06-05,West Indies,Australia,Guyana,116,227.20000000000002,-10.600000000000001,163.60000000000002,195.4,296.0,-31.99999999999999,200.00000000000003,248.0,274.8,-9.000000000000002,220.8,247.8,True,False
932853,2016-06-07,South Africa,Australia,Guyana,189,321.3,-13.9,237.9,279.6,188.0,0.0,188.0,188.0,363.6,-23.800000000000004,220.8,292.2,True,False
932855,2016-06-11,Australia,South Africa,St Kitts,288,247.09999999999997,3.0999999999999996,265.7,256.4,357.0,-6.200000000000001,319.8,338.4,291.5,8.900000000000002,344.90000000000003,318.2,True,False
1007649,2016-06-11,Zimbabwe,India,Harare Sports Club,168,171.6,9.799999999999999,230.39999999999998,201.0,230.00000000000003,-10.400000000000002,167.60000000000002,198.8,186.89999999999998,10.100000000000001,247.5,217.2,True,False
1007651,2016-06-13,Zimbabwe,India,Harare Sports Club,126,155.1,11.300000000000002,222.9,189.0,210.20000000000002,-7.800000000000002,163.4,186.8,243.1,-9.700000000000001,184.89999999999998,214.0,True,False
932857,2016-06-13,Australia,West Indies,St Kitts,265,214.4,18.800000000000004,327.20000000000005,270.8,382.0,-17.600000000000005,276.4,329.2,318.1,-1.1000000000000008,311.5,314.8,True,False
1007653,2016-06-15,Zimbabwe,India,Harare Sports Club,123,186.9,-3.100000000000001,168.3,177.6,238.70000000000005,-21.10000000000001,112.1,175.4,235.4,-15.600000000000005,141.79999999999998,188.6,True,False
932859,2016-06-15,South Africa,West Indies,St Kitts,343,438.40000000000003,-35.60000000000001,224.79999999999998,331.6,353.0,0.0,353.0,353.0,393.0,-41.2,145.79999999999998,269.4,True,False
913621,2016-06-18,Sri Lanka,Ireland,Dublin,377,219.0,0.0,219.0,219.0,219.0,0.0,219.0,219.0,340.0,-34.400000000000006,133.59999999999997,236.8,True,False
932863,2016-06-21,West Indies,Australia,Barbados,282,228.60000000000002,-18.200000000000006,119.39999999999998,174.0,292.66666666666663,-29.499999999999993,174.66666666666666,233.66666666666666,247.0,-13.399999999999999,166.60000000000002,206.8,True,False
932865,2016-06-24,West Indies,South Africa,Barbados,285,341.3,-36.300000000000004,123.5,232.4,239.0,2.7,252.5,245.75,310.20000000000005,-23.800000000000004,167.40000000000003,238.8,True,False
913625,2016-06-24,Sri Lanka,England,Birmingham,254,296.3,-2.1,283.7,290.0,263.9,-0.8999999999999979,258.5,261.2,263.9,-0.8999999999999979,258.5,261.2,True,False
932867,2016-06-26,Australia,West Indies,Barbados,270,290.2,-2.400000000000001,275.79999999999995,283.0,344.40000000000003,-12.800000000000004,267.6,306.0,344.40000000000003,-12.800000000000004,267.6,306.0,True,False
913631,2016-07-02,England,Sri Lanka,Cardiff,324,230.79999999999998,7.8,277.59999999999997,254.2,169.0,0.0,169.0,169.0,346.90000000000003,-18.700000000000003,234.70000000000002,290.8,True,False
997961,2016-07-12,Afghanistan,Ireland,Belfast,250,246.0,0.0,246.0,246.0,223.5,-11.700000000000003,153.29999999999998,188.4,223.5,-11.700000000000003,153.29999999999998,188.4,True,False
997965,2016-07-17,Afghanistan,Ireland,Belfast,229,242.0,3.9999999999999987,254.0,248.0,250.0,0.0,250.0,250.0,150.89999999999998,13.700000000000003,233.1,192.0,True,False
997967,2016-07-19,Ireland,Afghanistan,Belfast,265,163.0,0.0,163.0,163.0,312.6,-16.6,213.0,262.8,312.6,-16.6,213.0,262.8,True,False
997995,2016-08-16,United Arab Emirates,Scotland,Edinburgh,228,336.50000000000006,-50.600000000000016,83.49999999999997,210.0,336.50000000000006,-50.600000000000016,83.49999999999997,210.0,336.50000000000006,-50.600000000000016,83.49999999999997,210.0,True,True
913649,2016-08-18,Pakistan,Ireland,Dublin,337,397.6,-36.20000000000001,180.39999999999998,289.0,397.6,-36.20000000000001,180.39999999999998,289.0,397.6,-36.20000000000001,180.39999999999998,289.0,True,True
995457,2016-08-21,Sri Lanka,Australia,Colombo,227,210.8,4.2,236.0,223.4,340.3,-13.300000000000004,260.5,300.4,272.5,-3.899999999999997,249.10000000000002,260.8,True,False
995459,2016-08-24,Sri Lanka,Australia,Colombo,288,226.29999999999998,0.300000000000001,228.1,227.2,348.1,-22.100000000000005,215.5,281.8,168.09999999999997,21.500000000000004,297.1,232.6,True,False
913655,2016-08-27,Pakistan,England,London,251,262.8,-9.400000000000002,206.4,234.6,296.3333333333333,-35.499999999999986,154.33333333333337,225.33333333333334,283.79999999999995,-0.8000000000000012,278.99999999999994,281.4,True,False
995461,2016-08-28,Sri Lanka,Australia,Rangiri Dambulla International Stadium,226,137.29999999999995,30.100000000000012,317.90000000000003,227.6,251.7,1.3,259.5,255.6,195.0,19.200000000000003,310.20000000000005,252.6,True,False
913657,2016-08-30,England,Pakistan,Nottingham,444,205.9,22.300000000000004,339.70000000000005,272.8,276.5,-11.100000000000001,221.0,248.75,342.20000000000005,-14.400000000000006,255.8,299.0,True,False
995463,2016-08-31,Sri Lanka,Australia,Rangiri Dambulla International Stadium,212,243.1,1.1000000000000005,249.7,246.4,278.5,-8.700000000000003,226.29999999999998,252.4,354.79999999999995,-26.800000000000004,193.99999999999994,274.4,True,False
913659,2016-09-01,Pakistan,England,Leeds,247,249.2,-4.200000000000002,223.99999999999997,236.6,294.0,0.0,294.0,294.0,289.8,-5.200000000000001,258.6,274.2,True,False
995465,2016-09-01,Sri Lanka,Australia,Pallekele International Cricket Stadium,195,266.09999999999997,-8.3,216.29999999999995,241.2,205.5,16.100000000000005,302.1,253.8,266.90000000000003,-8.500000000000002,215.90000000000003,241.4,True,False
913661,2016-09-04,England,Pakistan,Cardiff,302,151.5,52.70000000000001,467.70000000000005,309.6,14.000000000000085,154.99999999999994,478.9999999999999,246.5,222.6,31.400000000000006,411.0,316.8,True,False
1004285,2016-09-10,Scotland,Hong Kong,Edinburgh,266,138.39999999999998,29.000000000000007,312.40000000000003,225.4,327.0,0.0,327.0,327.0,138.39999999999998,29.000000000000007,312.40000000000003,225.4,True,True
1051297,2016-09-25,Bangladesh,Afghanistan,Mirpur,265,267.0,0.0,267.0,267.0,245.70000000000002,1.9000000000000001,257.1,251.4,245.70000000000002,1.9000000000000001,257.1,251.4,True,False
936131,2016-09-25,South Africa,Ireland,Benoni,354,47.33333333333343,118.99999999999994,523.3333333333333,285.3333333333333,191.00000000000009,103.99999999999994,502.9999999999999,347.0,362.9,-26.300000000000004,205.09999999999997,284.0,True,False
936133,2016-09-27,Ireland,Australia,Benoni,198,91.0,0.0,91.0,91.0,236.7,4.300000000000002,262.5,249.6,236.7,4.300000000000002,262.5,249.6,True,False
1051299,2016-09-28,Bangladesh,Afghanistan,Mirpur,208,269.0,-1.9999999999999993,263.0,266.0,179.1,21.300000000000004,306.90000000000003,243.0,179.1,21.300000000000004,306.90000000000003,243.0,True,False
936135,2016-09-30,Australia,South Africa,Centurion,294,206.3,17.1,308.90000000000003,257.6,131.0,0.0,131.0,131.0,366.5,-22.100000000000005,233.89999999999998,300.2,True,False
1051301,2016-10-01,Bangladesh,Afghanistan,Mirpur,279,305.66666666666663,-29.499999999999993,187.66666666666666,246.66666666666666,284.4,-10.600000000000001,220.79999999999995,252.6,284.4,-10.600000000000001,220.79999999999995,252.6,True,False
1050225,2016-10-02,Pakistan,West Indies,Sharjah Cricket Stadium,337,189.5,0.7000000000000021,193.0,191.25,351.4,-19.000000000000004,237.39999999999995,294.4,254.7,1.9000000000000001,266.09999999999997,260.4,True,False
