batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
MM Ali,England,887,1.0376569037656904,49.27777777777778,6,2,0.1701931922723091,1.3106809818516352,902647
Samiullah Shenwari,Afghanistan,354,0.9375,40.0,7,1,0.16117216117216118,1.9407814407814405,953335
TM Dilshan,Sri Lanka,1003,1.3296703296703296,55.72222222222222,8,2,0.2611464968152866,1.4410654313839029,914207
TM Dilshan,Sri Lanka,1003,1.3296703296703296,55.72222222222222,8,2,0.2611464968152866,1.4410654313839029,914209
Sikandar Raza,Zimbabwe,712,0.8496420047732697,33.0,8,2,0.30695652173913046,1.0965077888863055,953337
TWM Latham,New Zealand,1242,1.272108843537415,53.09090909090909,10,5,0.24263891963692716,1.3711959946186203,914211
Sikandar Raza,Zimbabwe,712,0.8496420047732697,30.956521739130434,8,1,0.13217391304347825,1.0837700612780856,953339
Sikandar Raza,Zimbabwe,712,0.8496420047732697,30.956521739130434,8,1,0.13217391304347825,1.0837700612780856,953341
TWM Latham,New Zealand,1242,1.272108843537415,53.09090909090909,10,5,0.24263891963692716,1.3711959946186203,914215
Sikandar Raza,Zimbabwe,712,0.8496420047732697,30.956521739130434,8,1,0.13217391304347825,1.0837700612780856,953343
V Kohli,India,815,0.9389400921658986,50.9375,9,2,0.14770274437249462,1.08942935263081,895807
V Kohli,India,815,0.9389400921658986,71.0,9,2,0.14770274437249462,1.08942935263081,895809
V Kohli,India,815,0.9389400921658986,50.9375,9,2,0.14770274437249462,1.08942935263081,895811
SPD Smith,Australia,936,1.3204225352112675,55.05882352941177,7,3,0.22016109348303636,1.294043274718945,895813
SPD Smith,Australia,936,1.082051282051282,59.333333333333336,7,3,0.22016109348303636,1.153049085980756,895815
TWM Latham,New Zealand,1242,1.272108843537415,53.09090909090909,10,5,0.24263891963692716,1.3711959946186203,914227
MJ Guptill,New Zealand,1242,1.6374501992031874,53.09090909090909,10,5,0.24263891963692716,1.7662574804357833,914231
RR Rossouw,South Africa,802,1.3083197389885808,61.69230769230769,8,4,0.1882716049382716,1.4528703703703703,800471
MJ Guptill,New Zealand,1242,1.6374501992031874,53.09090909090909,10,5,0.24263891963692716,1.7662574804357833,914233
MJ Guptill,New Zealand,1242,1.6374501992031874,53.09090909090909,10,5,0.24263891963692716,1.7662574804357833,914235
MM Ali,England,785,1.4422535211267606,49.92307692307692,7,2,0.17629407351837958,1.5637973300856596,800473
MM Ali,England,785,1.4422535211267606,49.92307692307692,7,2,0.17629407351837958,1.5637973300856596,800475
MM Ali,England,785,1.4422535211267606,49.92307692307692,7,2,0.17629407351837958,1.5637973300856596,800477
KA Pollard,West Indies,67,0.9710144927536232,67.0,1,0,0.39880952380952384,1.7281746031746033,932851
RR Rossouw,South Africa,672,1.1162790697674418,56.0,4,3,0.1792376317923763,1.3612474896690225,932853
SPD Smith,Australia,526,1.0731707317073171,46.2,5,3,0.18138733304610083,1.1388572474075298,932855
Sikandar Raza,Zimbabwe,562,0.7990936555891238,42.54545454545455,6,2,0.24643423137876386,1.1730845867971567,1007649
Sikandar Raza,Zimbabwe,562,0.7990936555891238,42.54545454545455,6,1,0.1624405705229794,1.1072636027469624,1007651
UT Khawaja,Australia,526,1.0731707317073171,44.2,5,3,0.18138733304610083,1.1388572474075298,932857
R Mutumbami,Zimbabwe,562,0.7153024911032029,42.54545454545455,6,1,0.1624405705229794,1.0350127151439208,1007653
Q de Kock,South Africa,672,1.1857142857142857,56.0,4,3,0.1792376317923763,1.6638800507413645,932859
WU Tharanga,Sri Lanka,271,1.1917098445595855,46.0,2,2,0.2026431718061674,1.4603524229074891,913621
KA Pollard,West Indies,67,0.9710144927536232,67.0,1,0,0.39880952380952384,1.7281746031746033,932863
KA Pollard,West Indies,67,0.9710144927536232,67.0,1,0,0.39880952380952384,1.7281746031746033,932865
WU Tharanga,Sri Lanka,271,1.6111111111111112,46.0,2,2,0.2026431718061674,1.5170130667368238,913625
SPD Smith,Australia,526,1.2264150943396226,44.2,5,3,0.18138733304610083,1.3025980911983033,932867
LE Plunkett,England,524,1.75,55.5,4,1,0.20572640509013787,1.7049069700183168,913631
Samiullah Shenwari,Afghanistan,357,0.9130434782608695,44.625,1,2,0.2476007677543186,1.3518432722218545,997961
Samiullah Shenwari,Afghanistan,357,0.9130434782608695,44.625,1,2,0.2476007677543186,1.3518432722218545,997965
WTS Porterfield,Ireland,215,0.8682170542635659,35.833333333333336,3,0,0.2824858757062147,1.632768361581921,997967
Shaiman Anwar,United Arab Emirates,85,1.0625,43.0,2,0,,,997995
Shoaib Malik,Pakistan,249,0.9253731343283582,40.2,3,1,0.20525451559934318,1.284072249589491,913649
TM Dilshan,Sri Lanka,199,1.1428571428571428,59.333333333333336,3,0,0.21462639109697934,1.1928708894653168,995457
TM Dilshan,Sri Lanka,238,1.4166666666666667,59.333333333333336,3,1,0.21462639109697934,1.869038155802862,995459
Shoaib Malik,Pakistan,201,1.7674418604651163,152.0,3,0,0.16170212765957448,2.0062345373577437,913655
TM Dilshan,Sri Lanka,238,1.4166666666666667,59.333333333333336,3,1,0.21462639109697934,1.869038155802862,995461
JJ Roy,England,697,1.377245508982036,55.5,4,2,0.20572640509013787,1.6320476977953118,913657
NLTC Perera,Sri Lanka,199,1.1538461538461537,59.333333333333336,3,0,0.21462639109697934,1.1928708894653168,995463
Sharjeel Khan,Pakistan,201,1.7674418604651163,152.0,3,0,0.16170212765957448,2.0062345373577437,913659
WU Tharanga,Sri Lanka,238,1.0588235294117647,59.333333333333336,3,1,0.21462639109697934,0.9988851727982163,995465
JM Bairstow,England,741,0.9629629629629629,61.75,4,2,0.170004086636698,1.0350973299205681,913661
RD Berrington,Scotland,152,1.4482758620689655,76.0,1,0,0.27787934186471663,1.5621257013175314,1004285
Tamim Iqbal,Bangladesh,156,1.303030303030303,74.5,1,1,0.20939597315436242,1.6161073825503356,1051297
Q de Kock,South Africa,650,0.9519867549668874,47.916666666666664,4,2,0.21763931548924967,1.0869090783122792,936131
WTS Porterfield,Ireland,257,0.8163265306122449,31.625,5,1,0.18246445497630331,2.0814801312431643,936133
Tamim Iqbal,Bangladesh,156,1.303030303030303,52.0,1,1,0.20939597315436242,1.6161073825503356,1051299
