batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
TT Bresnan,England,800,1.2777777777777777,70.16666666666667,6,2,0.17794028031687995,1.5187654586514678,426431
Umar Akmal,Pakistan,507,1.4122562674094707,34.5,6,3,0.2049571020019066,1.801516007049604,426432
Shakib Al Hasan,Bangladesh,582,0.8466076696165191,36.375,6,0,0.15411764705882353,1.4538431372549019,476598
LRPL Taylor,New Zealand,583,1.0405405405405406,32.5,7,3,0.15862068965517243,1.2174019453593181,476599
T Taibu,Zimbabwe,513,0.8100961538461539,35.083333333333336,5,3,0.24977293369663942,1.4764759309718436,463143
JP Duminy,South Africa,765,1.089678510998308,69.54545454545455,4,3,0.24859392575928008,1.1776714068259369,463144
NL McCullum,New Zealand,583,0.9154929577464789,32.5,7,3,0.15862068965517243,1.2333101126204575,476600
Yuvraj Singh,India,1099,0.9226260257913247,40.7037037037037,7,2,0.16785329018338727,1.0378828134112676,464529
T Taibu,Zimbabwe,513,0.8100961538461539,35.083333333333336,5,3,0.24977293369663942,1.4764759309718436,463145
JP Duminy,South Africa,765,1.089678510998308,72.0,4,3,0.24859392575928008,1.1776714068259369,461566
Younis Khan,Pakistan,507,1.4122562674094707,34.5,6,3,0.2049571020019066,1.801516007049604,461567
Younis Khan,Pakistan,507,1.4122562674094707,45.5,6,3,0.2049571020019066,1.801516007049604,461568
